Full list of first forenames given to boys, Scotland, 2021 (final) in rank order,,,,,,,,,
,,,,,,,,,
NB: * indicates that, sadly, a baby who was given that first forename has since died.,,,,,,,,,
,,,,,,,,,
Rank1,Boys' names,Number of babies,NB,,,,,,
,,,,,,,,,
477=, CLAY, 6, , , , , , ,
477=, CLAYTON, 6, , , , , , ,
477=, COLT, 6, , , , , , ,
477=, CORRAN, 6, , , , , , ,
477=, ERIC, 6, , , , , , ,
477=, FRANCO, 6, , , , , , ,
477=, GIOVANNI, 6, , , , , , ,
477=, GORDON, 6, , , , , , ,
477=, GRAY, 6, , , , , , ,
477=, HENRYK, 6, , , , , , ,
477=, IAIN, 6, *, , , , , ,
477=, IBRAHEEM, 6, , , , , , ,
477=, ISAIAH, 6, , , , , , ,
477=, IVER, 6, , , , , , ,
477=, JAXXON, 6, , , , , , ,
477=, JETT, 6, *, , , , , ,
477=, JOHNNY, 6, , , , , , ,
477=, KADEN, 6, , , , , , ,
477=, KAELAN, 6, , , , , , ,
477=, KEIR, 6, , , , , , ,
477=, KLAY, 6, , , , , , ,
477=, KODI, 6, , , , , , ,
477=, KYREN, 6, , , , , , ,
477=, LAITH, 6, , , , , , ,
477=, LAKE, 6, , , , , , ,
477=, LEONARD, 6, , , , , , ,
477=, LUCCA, 6, , , , , , ,
477=, LYALL, 6, , , , , , ,
477=, MARC, 6, , , , , , ,
477=, MAYSON, 6, , , , , , ,
477=, NIKOLAS, 6, , , , , , ,
477=, ORRIN, 6, , , , , , ,
477=, RAIFE, 6, , , , , , ,
477=, RALPHIE, 6, , , , , , ,
477=, RAYMOND, 6, , , , , , ,
477=, RAYYAN, 6, , , , , , ,
477=, REID, 6, , , , , , ,
477=, RUEBEN, 6, , , , , , ,
477=, SAWYER, 6, , , , , , ,
477=, SHEA, 6, *, , , , , ,
477=, TADHG, 6, , , , , , ,
477=, TIERNAN, 6, , , , , , ,
477=, TORRAN, 6, , , , , , ,
477=, TYMOTEUSZ, 6, , , , , , ,
477=, VICTOR, 6, , , , , , ,
477=, WALTER, 6, , , , , , ,
477=, ZAVIYAR, 6, , , , , , ,
533=, ALEXANDRU, 5, , , , , , ,
533=, ALFRED, 5, , , , , , ,
533=, ALVEY, 5, , , , , , ,
533=, AMIR, 5, , , , , , ,
533=, AODHAN, 5, , , , , , ,
533=, ARRON, 5, , , , , , ,
533=, AULAY, 5, , , , , , ,
533=, BRUNO, 5, , , , , , ,
533=, CAYDE, 5, , , , , , ,
533=, CURTIS, 5, , , , , , ,
533=, DARIO, 5, , , , , , ,
533=, DEACON, 5, , , , , , ,
533=, EDUARD, 5, , , , , , ,
533=, ERIK, 5, , , , , , ,
533=, ERNEST, 5, , , , , , ,
533=, FABIAN, 5, , , , , , ,
533=, FORD, 5, , , , , , ,
533=, GARY, 5, , , , , , ,
533=, GLEN, 5, , , , , , ,
533=, HADI, 5, , , , , , ,
533=, HAIDER, 5, , , , , , ,
533=, HARPER, 5, , , , , , ,
533=, HUBERT, 5, , , , , , ,
533=, ISMAIL, 5, , , , , , ,
533=, JADEN, 5, , , , , , ,
533=, JOCK, 5, , , , , , ,
533=, JULIUS, 5, , , , , , ,
533=, KADE, 5, , , , , , ,
533=, KAREEM, 5, , , , , , ,
533=, KENNETH, 5, , , , , , ,
533=, KIAAN, 5, , , , , , ,
533=, KOAH, 5, , , , , , ,
533=, KOBY, 5, , , , , , ,
